4318,1,1
1,1,1
1,1,1
478,1,0
2,1,0
0,1,0
238,1,1
1,1,1
1,1,1
427,1,0
0,1,0
2,1,0
3171,1,1
1,1,1
1,1,1
478,1,0
0,1,0
2,1,0
238,1,1
1,1,1
1,1,1
478,1,0
0,1,0
2,1,0
236,1,1
1,1,1
1,1,1
558,1,0
2,1,0
40,1,0
118,1,1
1,1,1
1,1,1
320,1,0
9,1,0
4,1,0
1826,1,1
1,1,1
1,1,1
548,1,0
0,1,0
2,1,0
166,1,1
2,1,1
1,1,1
1,1,1
546,1,0
2,1,0
0,1,0
2,1,0
1609,1,1
1,1,1
1,1,1
478,1,0
2,1,0
120,1,0
118,1,1
1,1,1
1,1,1
427,1,0
0,1,0
2,1,0
3168,1,1
1,1,1
1,1,1
677,1,0
0,1,0
2,1,0
39,1,1
1,1,1
1,1,1
677,1,0
0,1,0
2,1,0
39,1,1
1,1,1
1,1,1
677,1,0
0,1,0
2,1,0
39,1,1
1,1,1
1,1,1
359,1,0
0,1,0
2,1,0
4678,1,1
1,1,1
1,1,1
478,1,0
2,1,0
120,1,0
118,1,1
1,1,1
1,1,1
427,1,0
0,1,0
2,1,0
3171,1,1
1,1,1
1,1,1
478,1,0
0,1,0
2,1,0
238,1,1
1,1,1
1,1,1
478,1,0
0,1,0
2,1,0
236,1,1
1,1,1
1,1,1
558,1,0
2,1,0
40,1,0
118,1,1
1,1,1
1,1,1
320,1,0
9,1,0
4,1,0
385,1,1
1,1,1
1,1,1
1989,1,0
0,1,0
2,1,0
168,1,1
1,1,1
1,1,1
548,1,0
0,1,0
2,1,0
607,1,1
1,1,1
1,1,1
138,1,0
0,1,0
2,1,0
578,1,1
1,1,1
1,1,1
138,1,0
0,1,0
2,1,0
140,1,1
1,1,1
1,1,1
478,1,0
2,1,0
120,1,0
118,1,1
1,1,1
1,1,1
427,1,0
0,1,0
2,1,0
3168,1,1
1,1,1
1,1,1
597,1,0
0,1,0
0,1,0
121,1,1
1,1,1
1,1,1
677,1,0
0,1,0
2,1,0
39,1,1
1,1,1
1,1,1
677,1,0
0,1,0
2,1,0
39,1,1
1,1,1
1,1,1
359,1,0
0,1,0
2,1,0
356,1,0
